Car_Number,Arrive,Depart,Wait,Direction
516,19047,19048,1,W
517,19058,19060,2,S
518,19081,19084,3,W
519,19086,19088,2,E
520,19094,19096,2,N
521,19115,19116,1,W
522,19129,19132,3,S
523,19129,19136,7,E
524,19149,19152,3,W
525,19158,19160,2,N
526,19172,19172,0,E
527,19183,19184,1,W
528,19200,19200,0,S
529,19215,19216,1,E
530,19217,19220,3,W
531,19222,19224,2,N
532,19251,19252,1,W
533,19258,19260,2,E
534,19271,19272,1,S
535,19285,19288,3,W
536,19286,19292,6,N
537,19301,19304,3,E
538,19319,19320,1,W
539,19342,19344,2,S
540,19344,19348,4,E
541,19350,19352,2,N
542,19353,19356,3,W
543,19387,19388,1,E
544,19387,19392,5,W
545,19413,19416,3,S
546,19414,19420,6,N
547,19421,19424,3,W
548,19430,19432,2,E
549,19455,19456,1,W
550,19473,19476,3,E
551,19478,19480,2,N
552,19484,19484,0,S
553,19489,19492,3,W
554,19516,19516,0,E
555,19523,19524,1,W
556,19542,19544,2,N
557,19555,19556,1,S
558,19557,19560,3,W
559,19559,19564,5,E
560,19591,19592,1,W
561,19602,19604,2,E
562,19606,19608,2,N
563,19625,19628,3,W
564,19626,19632,6,S
565,19645,19648,3,E
566,19659,19660,1,W
567,19670,19672,2,N
568,19688,19688,0,E
569,19693,19696,3,W
570,19697,19700,3,S
571,19727,19728,1,W
572,19731,19732,1,E
573,19734,19736,2,N
574,19761,19764,3,W
575,19768,19768,0,S
576,19774,19776,2,E
577,19795,19796,1,W
578,19798,19800,2,N
579,19817,19820,3,E
580,19829,19832,3,W
581,19839,19840,1,S
582,19860,19860,0,E
583,19862,19864,2,N
584,19863,19868,5,W
585,19897,19900,3,W
586,19903,19904,1,E
587,19910,19912,2,S
588,19926,19928,2,N
589,19931,19932,1,W
590,19946,19948,2,E
591,19965,19968,3,W
592,19981,19984,3,S
593,19989,19992,3,E
594,19990,19996,6,N
595,19999,20000,1,W
596,20032,20032,0,E
597,20033,20036,3,W
598,20052,20052,0,S
599,20054,20056,2,N
600,20067,20068,1,W
601,20075,20076,1,E
602,20101,20104,3,W
603,20118,20120,2,N
604,20118,20124,6,E
605,20123,20128,5,S
606,20135,20136,1,W
607,20161,20164,3,E
608,20169,20172,3,W
609,20182,20184,2,N
610,20194,20196,2,S
611,20203,20204,1,W
612,20204,20208,4,E
613,20237,20240,3,W
614,20246,20248,2,N
615,20247,20252,5,E
616,20265,20268,3,S
617,20271,20272,1,W
618,20290,20292,2,E
619,20305,20308,3,W
620,20310,20312,2,N
621,20333,20336,3,E
622,20336,20340,4,S
623,20339,20344,5,W
624,20373,20376,3,W
625,20374,20380,6,N
626,20376,20384,8,E
627,20407,20408,1,S
628,20407,20412,5,W
629,20419,20420,1,E
630,20438,20440,2,N
631,20441,20444,3,W
632,20462,20464,2,E
633,20475,20476,1,W
634,20478,20480,2,S
635,20502,20504,2,N
636,20505,20508,3,E
637,20509,20512,3,W
638,20543,20544,1,W
639,20548,20548,0,E
640,20549,20552,3,S
641,20566,20568,2,N
642,20577,20580,3,W
643,20591,20592,1,E
644,20611,20612,1,W
645,20620,20620,0,S
646,20630,20632,2,N
647,20634,20636,2,E
648,20645,20648,3,W
649,20677,20680,3,E
650,20679,20684,5,W
651,20691,20692,1,S
652,20694,20696,2,N
653,20713,20716,3,W
654,20720,20720,0,E
655,20747,20748,1,W
656,20758,20760,2,N
657,20762,20764,2,S
658,20763,20768,5,E
659,20781,20784,3,W
660,20806,20808,2,E
661,20815,20816,1,W
662,20822,20824,2,N
663,20833,20836,3,S
664,20849,20852,3,E
665,20849,20856,7,W
666,20883,20884,1,W
667,20886,20888,2,N
668,20892,20892,0,E
669,20904,20904,0,S
670,20917,20920,3,W
671,20935,20936,1,E
672,20950,20952,2,N
673,20951,20956,5,W
674,20975,20976,1,S
675,20978,20980,2,E
676,20985,20988,3,W
677,21014,21016,2,N
678,21019,21020,1,W
679,21021,21024,3,E
680,21046,21048,2,S
681,21053,21056,3,W
682,21064,21064,0,E
683,21078,21080,2,N
684,21087,21088,1,W
685,21107,21108,1,E
686,21117,21120,3,S
687,21121,21124,3,W
688,21142,21144,2,N
689,21150,21152,2,E
690,21155,21156,1,W
691,21188,21188,0,S
692,21189,21192,3,W
693,21193,21196,3,E
694,21206,21208,2,N
695,21223,21224,1,W
696,21236,21236,0,E
697,21257,21260,3,W
698,21259,21264,5,S
699,21270,21272,2,N
700,21279,21280,1,E
701,21291,21292,1,W
702,21322,21324,2,E
703,21325,21328,3,W
704,21330,21332,2,S
705,21334,21336,2,N
706,21359,21360,1,W
707,21365,21368,3,E
708,21393,21396,3,W
709,21398,21400,2,N
710,21401,21404,3,S
711,21408,21408,0,E
712,21427,21428,1,W
713,21451,21452,1,E
714,21461,21464,3,W
715,21462,21468,6,N
716,21472,21472,0,S
717,21494,21496,2,E
718,21495,21500,5,W
719,21526,21528,2,N
720,21529,21532,3,W
721,21537,21540,3,E
722,21543,21544,1,S
723,21563,21564,1,W
724,21580,21580,0,E
725,21590,21592,2,N
726,21597,21600,3,W
727,21614,21616,2,S
728,21623,21624,1,E
729,21631,21632,1,W
730,21643,21644,1,E
731,21647,21648,1,S
732,21647,21652,5,W
733,21654,21656,2,N
734,21663,21664,1,E
735,21663,21668,5,W
736,21679,21680,1,W
737,21680,21684,4,S
738,21683,21688,5,E
739,21684,21692,8,N
740,21695,21696,1,W
741,21703,21704,1,E
742,21711,21712,1,W
743,21713,21716,3,S
744,21714,21720,6,N
745,21723,21724,1,E
746,21727,21728,1,W
747,21743,21744,1,E
748,21743,21748,5,W
749,21744,21752,8,N
750,21746,21756,10,S
751,21759,21760,1,W
752,21763,21764,1,E
753,21774,21776,2,N
754,21775,21780,5,W
755,21779,21784,5,S
756,21783,21788,5,E
757,21791,21792,1,W
758,21803,21804,1,E
759,21804,21808,4,N
760,21807,21812,5,W
761,21812,21816,4,S
762,21823,21824,1,E
763,21823,21828,5,W
764,21834,21836,2,N
765,21839,21840,1,W
766,21843,21844,1,E
767,21845,21848,3,S
768,21855,21856,1,W
769,21863,21864,1,E
770,21864,21868,4,N
771,21871,21872,1,W
772,21878,21880,2,S
773,21883,21884,1,E
774,21887,21888,1,W
775,21894,21896,2,N
776,21903,21904,1,E
777,21903,21908,5,W
778,21911,21912,1,S
779,21919,21920,1,W
780,21923,21924,1,E
781,21924,21928,4,N
782,21935,21936,1,W
783,21943,21944,1,E
784,21944,21948,4,S
785,21951,21952,1,W
786,21954,21956,2,N
787,21963,21964,1,E
788,21967,21968,1,W
789,21977,21980,3,S
790,21983,21984,1,E
791,21983,21988,5,W
792,21984,21992,8,N
793,21999,22000,1,W
794,22003,22004,1,E
795,22010,22012,2,S
796,22014,22016,2,N
797,22015,22020,5,W
798,22023,22024,1,E
799,22031,22032,1,W
800,22043,22044,1,S
801,22043,22048,5,E
802,22044,22052,8,N
803,22047,22056,9,W
804,22063,22064,1,E
805,22063,22068,5,W
806,22074,22076,2,N
807,22076,22080,4,S
808,22079,22084,5,W
809,22083,22088,5,E
810,22095,22096,1,W
811,22103,22104,1,E
812,22104,22108,4,N
813,22109,22112,3,S
814,22111,22116,5,W
815,22123,22124,1,E
816,22127,22128,1,W
817,22134,22136,2,N
818,22142,22144,2,S
819,22143,22148,5,E
820,22143,22152,9,W
821,22159,22160,1,W
822,22163,22164,1,E
823,22164,22168,4,N
824,22175,22176,1,S
825,22175,22180,5,W
826,22183,22184,1,E
827,22191,22192,1,W
828,22194,22196,2,N
829,22203,22204,1,E
830,22207,22208,1,W
831,22208,22212,4,S
832,22223,22224,1,E
833,22223,22228,5,W
834,22224,22232,8,N
835,22239,22240,1,W
836,22241,22244,3,S
837,22243,22248,5,E
838,22254,22256,2,N
839,22255,22260,5,W
840,22263,22264,1,E
841,22271,22272,1,W
842,22274,22276,2,S
843,22283,22284,1,E
844,22284,22288,4,N
845,22287,22292,5,W
846,22303,22304,1,E
847,22303,22308,5,W
848,22307,22312,5,S
849,22314,22316,2,N
850,22319,22320,1,W
851,22323,22324,1,E
852,22335,22336,1,W
853,22340,22340,0,S
854,22343,22344,1,E
855,22344,22348,4,N
856,22351,22352,1,W
857,22363,22364,1,E
858,22367,22368,1,W
859,22373,22376,3,S
860,22374,22380,6,N
861,22383,22384,1,E
862,22383,22388,5,W
863,22399,22400,1,W
864,22403,22404,1,E
865,22404,22408,4,N
866,22406,22412,6,S
867,22415,22416,1,W
868,22423,22424,1,E
869,22431,22432,1,W
870,22434,22436,2,N
871,22439,22440,1,S
872,22443,22444,1,E
873,22447,22448,1,W
874,22463,22464,1,E
875,22463,22468,5,W
876,22464,22472,8,N
877,22472,22476,4,S
878,22479,22480,1,W
879,22483,22484,1,E
880,22494,22496,2,N
881,22495,22500,5,W
882,22503,22504,1,E
883,22505,22508,3,S
884,22511,22512,1,W
885,22523,22524,1,E
886,22524,22528,4,N
887,22527,22532,5,W
888,22538,22540,2,S
889,22543,22544,1,E
890,22543,22548,5,W
891,22554,22556,2,N
892,22559,22560,1,W
893,22563,22564,1,E
894,22571,22572,1,S
895,22575,22576,1,W
896,22583,22584,1,E
897,22584,22588,4,N
898,22591,22592,1,W
899,22603,22604,1,E
900,22604,22608,4,S
901,22607,22612,5,W
902,22614,22616,2,N
903,22623,22624,1,E
904,22623,22628,5,W
905,22637,22640,3,S
906,22639,22644,5,W
907,22643,22648,5,E
908,22644,22652,8,N
909,22655,22656,1,W
910,22663,22664,1,E
911,22670,22672,2,S
912,22671,22676,5,W
913,22674,22680,6,N
914,22683,22684,1,E
915,22687,22688,1,W
916,22703,22704,1,S
917,22703,22708,5,E
918,22703,22712,9,W
919,22704,22716,12,N
920,22719,22720,1,W
921,22723,22724,1,E
922,22734,22736,2,N
923,22735,22740,5,W
924,22736,22744,8,S
925,22743,22748,5,E
926,22751,22752,1,W
927,22763,22764,1,E
928,22764,22768,4,N
929,22767,22772,5,W
930,22769,22776,7,S
931,22783,22784,1,E
932,22783,22788,5,W
933,22794,22796,2,N
934,22799,22800,1,W
935,22802,22804,2,S
936,22803,22808,5,E
937,22815,22816,1,W
938,22823,22824,1,E
939,22824,22828,4,N
940,22831,22832,1,W
941,22835,22836,1,S
942,22843,22844,1,E
943,22847,22848,1,W
944,22854,22856,2,N
945,22863,22864,1,E
946,22863,22868,5,W
947,22868,22872,4,S
948,22879,22880,1,W
949,22883,22884,1,E
950,22884,22888,4,N
951,22895,22896,1,W
952,22901,22904,3,S
953,22903,22908,5,E
954,22911,22912,1,W
955,22914,22916,2,N
956,22923,22924,1,E
957,22927,22928,1,W
958,22934,22936,2,S
959,22943,22944,1,E
960,22943,22948,5,W
961,22944,22952,8,N
962,22959,22960,1,W
963,22963,22964,1,E
964,22967,22968,1,S
965,22974,22976,2,N
966,22975,22980,5,W
967,22983,22984,1,E
968,22991,22992,1,W
969,23000,23000,0,S
970,23003,23004,1,E
971,23004,23008,4,N
972,23007,23012,5,W
973,23023,23024,1,E
974,23023,23028,5,W
975,23033,23036,3,S
976,23034,23040,6,N
977,23039,23044,5,W
978,23043,23048,5,E
979,23055,23056,1,W
980,23063,23064,1,E
981,23064,23068,4,N
982,23066,23072,6,S
983,23071,23076,5,W
984,23083,23084,1,E
985,23087,23088,1,W
986,23094,23096,2,N
987,23099,23100,1,S
988,23103,23104,1,E
989,23103,23108,5,W
990,23119,23120,1,W
991,23123,23124,1,E
992,23124,23128,4,N
993,23132,23132,0,S
994,23135,23136,1,W
995,23143,23144,1,E
996,23151,23152,1,W
997,23154,23156,2,N
998,23163,23164,1,E
999,23165,23168,3,S
1000,23167,23172,5,W
1001,23183,23184,1,E
1002,23183,23188,5,W
1003,23184,23192,8,N
1004,23198,23200,2,S
1005,23199,23204,5,W
1006,23203,23208,5,E
1007,23214,23216,2,N
1008,23215,23220,5,W
1009,23223,23224,1,E
1010,23231,23232,1,S
1011,23231,23236,5,W
1012,23243,23244,1,E
1013,23244,23248,4,N
1014,23247,23252,5,W
1015,23263,23264,1,E
1016,23263,23268,5,W
1017,23264,23272,8,S
1018,23274,23276,2,N
1019,23279,23280,1,W
1020,23283,23284,1,E
1021,23295,23296,1,W
1022,23297,23300,3,S
1023,23303,23304,1,E
1024,23304,23308,4,N
1025,23311,23312,1,W
1026,23323,23324,1,E
1027,23327,23328,1,W
1028,23330,23332,2,S
1029,23334,23336,2,N
1030,23343,23344,1,E
1031,23343,23348,5,W
1032,23359,23360,1,W
1033,23363,23364,1,S
1034,23363,23368,5,E
1035,23364,23372,8,N
1036,23375,23376,1,W
1037,23383,23384,1,E
1038,23391,23392,1,W
1039,23394,23396,2,N
1040,23396,23400,4,S
1041,23403,23404,1,E
1042,23407,23408,1,W
1043,23423,23424,1,E
1044,23423,23428,5,W
1045,23424,23432,8,N
1046,23429,23436,7,S
1047,23439,23440,1,W
1048,23443,23444,1,E
1049,23454,23456,2,N
1050,23455,23460,5,W
1051,23462,23464,2,S
1052,23463,23468,5,E
1053,23471,23472,1,W
1054,23483,23484,1,E
1055,23484,23488,4,N
1056,23487,23492,5,W
1057,23495,23496,1,S
1058,23503,23504,1,E
1059,23503,23508,5,W
1060,23514,23516,2,N
1061,23519,23520,1,W
1062,23523,23524,1,E
1063,23528,23528,0,S
1064,23535,23536,1,W
1065,23543,23544,1,E
1066,23544,23548,4,N
1067,23551,23552,1,W
1068,23561,23564,3,S
1069,23563,23568,5,E
1070,23567,23572,5,W
1071,23574,23576,2,N
1072,23583,23584,1,E
1073,23583,23588,5,W
1074,23594,23596,2,S
1075,23599,23600,1,W
1076,23603,23604,1,E
1077,23604,23608,4,N
1078,23615,23616,1,W
1079,23623,23624,1,E
1080,23627,23628,1,S
1081,23631,23632,1,W
1082,23634,23636,2,N
1083,23643,23644,1,E
1084,23647,23648,1,W
1085,23660,23660,0,S
1086,23663,23664,1,E
1087,23663,23668,5,W
1088,23664,23672,8,N
1089,23679,23680,1,W
1090,23683,23684,1,E
1091,23693,23696,3,S
1092,23694,23700,6,N
1093,23695,23704,9,W
1094,23703,23708,5,E
1095,23711,23712,1,W
1096,23723,23724,1,E
1097,23724,23728,4,N
1098,23726,23732,6,S
1099,23727,23736,9,W
1100,23743,23744,1,E
1101,23743,23748,5,W
1102,23754,23756,2,N
1103,23759,23760,1,S
1104,23759,23764,5,W
1105,23763,23768,5,E
1106,23775,23776,1,W
1107,23783,23784,1,E
1108,23784,23788,4,N
1109,23791,23792,1,W
1110,23792,23796,4,S
1111,23803,23804,1,E
1112,23807,23808,1,W
1113,23814,23816,2,N
1114,23823,23824,1,E
1115,23823,23828,5,W
1116,23825,23832,7,S
1117,23839,23840,1,W
1118,23843,23844,1,E
1119,23844,23848,4,N
1120,23855,23856,1,W
1121,23858,23860,2,S
1122,23863,23864,1,E
1123,23871,23872,1,W
1124,23874,23876,2,N
1125,23883,23884,1,E
1126,23887,23888,1,W
1127,23891,23892,1,S
1128,23903,23904,1,E
1129,23903,23908,5,W
1130,23904,23912,8,N
1131,23919,23920,1,W
1132,23923,23924,1,E
1133,23924,23928,4,S
1134,23934,23936,2,N
1135,23935,23940,5,W
1136,23943,23944,1,E
1137,23951,23952,1,W
1138,23957,23960,3,S
1139,23963,23964,1,E
1140,23964,23968,4,N
1141,23967,23972,5,W
1142,23983,23984,1,E
1143,23983,23988,5,W
1144,23990,23992,2,S
1145,23994,23996,2,N
1146,23999,24000,1,W
1147,24003,24004,1,E
1148,24015,24016,1,W
1149,24023,24024,1,S
1150,24023,24028,5,E
1151,24024,24032,8,N
1152,24031,24036,5,W
1153,24043,24044,1,E
